summary_level	dataset	broad_state	record_count	fallback_count	celltype_specific_count	source_file	source_sha256	notes
by_state	GSE179640	Decidual_Stroma	33	0	33	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE179640	Endothelial	33	0	33	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE179640	Glandular_Epi	33	0	33	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE179640	Luminal_Epi	33	0	33	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE179640	Lymphoid	33	0	33	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE179640	Myeloid	33	0	33	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE179640	Stroma	33	0	33	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE213216	Decidual_Stroma	45	0	45	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE213216	Endothelial	45	0	45	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE213216	Glandular_Epi	45	0	45	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE213216	Luminal_Epi	45	0	45	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE213216	Lymphoid	45	0	45	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE213216	Myeloid	45	0	45	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE213216	Stroma	45	0	45	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE214411	Decidual_Stroma	13	0	13	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE214411	Endothelial	13	0	13	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE214411	Glandular_Epi	13	0	13	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE214411	Luminal_Epi	13	0	13	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
